allInPings,assistMePings,assists,baronKills,basicPings,champExperience,championId,championName,championTransform,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToEpicMonsters,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,perks_statPerks_defense,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,perks_statPerks_flex,gameEndedInEarlySurrender,gameEndedInSurrender,info_gameId,riotIdGameName,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorsLost,inhibitorTakedowns,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,totalEnemyJungleMinionsKilled,totalAllyJungleMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,perks_statPerks_offense,onMyWayPings,participantId,pentaKills,perk_0,var1_0,var2_0,var3_0,perk_1,var1_1,var2_1,var3_1,perk_2,var1_2,var2_2,var3_2,perk_3,var1_3,var2_3,var3_3,perk_4,var1_4,var2_4,var3_4,perk_5,var1_5,var2_5,var3_5,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerAugment5,playerAugment6,PlayerScore0,missions_playerScore0,PlayerScore1,missions_playerScore1,PlayerScore10,missions_playerScore10,PlayerScore11,missions_playerScore11,PlayerScore2,missions_playerScore2,PlayerScore3,missions_playerScore3,PlayerScore4,missions_playerScore4,PlayerScore5,missions_playerScore5,PlayerScore6,missions_playerScore6,PlayerScore7,missions_playerScore7,PlayerScore8,missions_playerScore8,PlayerScore9,missions_playerScore9,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,retreatPings,role,roleBoundItem,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summonerId,summonerLevel,summonerName,summoner1Id,summoner1Casts,summoner2Id,summoner2Casts,riotIdTagline,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,turretTakedowns,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
allInPings,assistMePings,assists,baronKills,basicPings,champExperience,championId,championName,championTransform,champLevel,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToEpicMonsters,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,defense,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,flex,gameEndedInEarlySurrender,gameEndedInSurrender,gameid,gameName,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorsLost,inhibitorTakedowns,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,offense,onMyWayPings,participantId,pentaKills,perk0,perk0_var1,perk0_var2,perk0_var3,perk1,perk1_var1,perk1_var2,perk1_var3,perk2,perk2_var1,perk2_var2,perk2_var3,perk3,perk3_var1,perk3_var2,perk3_var3,perk4,perk4_var1,perk4_var2,perk4_var3,perk5,perk5_var1,perk5_var2,perk5_var3,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerAugment5,playerAugment6,PlayerScore0,playerScore0_m,PlayerScore1,playerScore1_m,PlayerScore10,playerScore10_m,PlayerScore11,playerScore11_m,PlayerScore2,playerScore2_m,PlayerScore3,playerScore3_m,PlayerScore4,playerScore4_m,PlayerScore5,playerScore5_m,PlayerScore6,playerScore6_m,PlayerScore7,playerScore7_m,PlayerScore8,playerScore8_m,PlayerScore9,playerScore9_m,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,retreatPings,role,roleBoundItem,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summonerIdLong,summonerLevel,summonerName,summonerSpell1,summonerSpell1Casts,summonerSpell2,summonerSpell2Casts,tagline,teamEarlySurrendered,teamid,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCrowdControlDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,turretTakedowns_c,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
Int(4),Int(8),Int(4),Int(4),Int(8),Int(8),Int(4),Varchar(24),Int(8),Int(4),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(16),Int(8),Int(4),Int(8),Int(8),Int(4),Int(4),bool,Int(8),Int(8),bool,bool,bool,bool,Int(8),bool,bool,Bigint(16),Varchar(16),Int(8),Int(8),Int(8),Int(8),Varchar(16),Int(4),Int(4),Int(4),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(4),Int(4),Varchar(16),Int(8),Int(4),Int(4),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(4),Int(4),Int(4),Int(4),Int(4),Int(8),Int(8),Int(4),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(4),Int(8),Int(4),Int(8),Int(4),Int(8),Int(4),Int(8),Int(4),Int(8),Int(4),Int(8),Int(4),Int(8),Int(4),Int(8),Int(4),Int(8),Int(4),Int(8),Int(4),Int(8),Int(4),Int(8),Int(8),Int(8),Int(8),text,Int(8),Int(8),Varchar(16),Int(8),Int(4),Int(8),Int(8),Int(8),Int(8),Int(8),text,Int(8),Varchar(16),Int(4),Int(4),Int(4),Int(4),Varchar(8),bool,Int(4),Varchar(16),Int(8),Int(8),Int(16),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(4),Int(16),Int(8),Int(16),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(4),Int(8),Int(4),bool
pings,pings,stats,stats,pings,stats,user,user,meta,stats,pings,gold,stats,stats,stats,stats,stats,pings,stats,ability,stats,scores,stats,bools,pings,pings,bools,bools,bools,bools,ability,bools,bools,meta,user,pings,gold,gold,pings,user,stats,stats,stats,gold,gold,gold,gold,gold,gold,gold,gold,scores,stats,user,stats,scores,scores,stats,stats,stats,stats,pings,stats,stats,stats,stats,stats,stats,stats,stats,ability,pings,meta,scores,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,stats,stats,stats,stats,ability,ability,ability,ability,ability,ability,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,meta,user,pings,user,scores,pings,user,gold,stats,ability,ability,ability,ability,meta,user,user,user,ability,ability,ability,ability,user,bools,meta,user,stats,time,stats,stats,stats,stats,stats,stats,stats,stats,stats,stats,scores,stats,stats,stats,stats,stats,stats,stats,pings,stats,stats,stats,stats,bools
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenges_12AssistStreakCount,challenges_abilityUses,challenges_acesBefore15Minutes,challenges_alliedJungleMonsterKills,challenges_baronTakedowns,challenges_blastConeOppositeOpponentCount,challenges_bountyGold,challenges_buffsStolen,challenges_completeSupportQuestInTime,challenges_controlWardsPlaced,challenges_controlWardTimeCoverageInRiverOrEnemyHalf,challenges_damagePerMinute,challenges_damageTakenOnTeamPercentage,challenges_dancedWithRiftHerald,challenges_deathsByEnemyChamps,challenges_dodgeSkillShotsSmallWindow,challenges_doubleAces,challenges_dragonTakedowns,challenges_earliestBaron,challenges_earliestDragonTakedown,challenges_earlyLaningPhaseGoldExpAdvantage,challenges_effectiveHealAndShielding,challenges_elderDragonKillsWithOpposingSoul,challenges_elderDragonMultikills,challenges_enemyChampionImmobilizations,challenges_enemyJungleMonsterKills,challenges_epicMonsterKillsNearEnemyJungler,challenges_epicMonsterKillsWithin30SecondsOfSpawn,challenges_epicMonsterSteals,challenges_epicMonsterStolenWithoutSmite,challenges_firstTurretKilled,challenges_firstTurretKilledTime,challenges_fistBumpParticipation,challenges_flawlessAces,challenges_fullTeamTakedown,challenges_gameLength,challenges_getTakedownsInAllLanesEarlyJungleAsLaner,challenges_goldPerMinute,challenges_hadOpenNexus,challenges_HealFromMapSources,challenges_highestChampionDamage,challenges_highestCrowdControlScore,challenges_highestWardKills,challenges_immobilizeAndKillWithAlly,challenges_InfernalScalePickup,challenges_initialBuffCount,challenges_initialCrabCount,challenges_jungleCsBefore10Minutes,challenges_junglerKillsEarlyJungle,challenges_junglerTakedownsNearDamagedEpicMonster,challenges_kda,challenges_killAfterHiddenWithAlly,challenges_killedChampTookFullTeamDamageSurvived,challenges_killingSprees,challenges_killParticipation,challenges_killsNearEnemyTurret,challenges_killsOnLanersEarlyJungleAsJungler,challenges_killsOnOtherLanesEarlyJungleAsLaner,challenges_killsOnRecentlyHealedByAramPack,challenges_killsUnderOwnTurret,challenges_killsWithHelpFromEpicMonster,challenges_knockEnemyIntoTeamAndKill,challenges_kTurretsDestroyedBeforePlatesFall,challenges_landSkillShotsEarlyGame,challenges_laneMinionsFirst10Minutes,challenges_laningPhaseGoldExpAdvantage,challenges_legendaryCount,challenges_lostAnInhibitor,challenges_maxCsAdvantageOnLaneOpponent,challenges_maxKillDeficit,challenges_maxLevelLeadLaneOpponent,challenges_mejaisFullStackInTime,challenges_moreEnemyJungleThanOpponent,challenges_multiKillOneSpell,challenges_multikills,challenges_multikillsAfterAggressiveFlash,challenges_multiTurretRiftHeraldCount,challenges_outerTurretExecutesBefore10Minutes,challenges_outnumberedKills,challenges_outnumberedNexusKill,challenges_perfectDragonSoulsTaken,challenges_perfectGame,challenges_pickKillWithAlly,challenges_playedChampSelectPosition,challenges_poroExplosions,challenges_quickCleanse,challenges_quickFirstTurret,challenges_quickSoloKills,challenges_riftHeraldTakedowns,challenges_saveAllyFromDeath,challenges_scuttleCrabKills,challenges_shortestTimeToAceFromFirstTakedown,challenges_skillshotsDodged,challenges_skillshotsHit,challenges_snowballsHit,challenges_soloBaronKills,challenges_soloKills,challenges_soloTurretsLategame,challenges_stealthWardsPlaced,challenges_survivedSingleDigitHpCount,challenges_survivedThreeImmobilizesInFight,challenges_SWARM_DefeatAatrox,challenges_SWARM_DefeatBriar,challenges_SWARM_DefeatMiniBosses,challenges_SWARM_EvolveWeapon,challenges_SWARM_Have3Passives,challenges_SWARM_KillEnemy,challenges_SWARM_PickupGold,challenges_SWARM_ReachLevel50,challenges_SWARM_Survive15Min,challenges_SWARM_WinWith5EvolvedWeapons,challenges_takedownOnFirstTurret,challenges_takedowns,challenges_takedownsAfterGainingLevelAdvantage,challenges_takedownsBeforeJungleMinionSpawn,challenges_takedownsFirstXMinutes,challenges_takedownsInAlcove,challenges_takedownsInEnemyFountain,challenges_teamBaronKills,challenges_teamDamagePercentage,challenges_teamElderDragonKills,challenges_teamRiftHeraldKills,challenges_tookLargeDamageSurvived,challenges_turretPlatesTaken,challenges_turretsTakenWithRiftHerald,challenges_turretTakedowns,challenges_twentyMinionsIn3SecondsCount,challenges_twoWardsOneSweeperCount,challenges_unseenRecalls,challenges_visionScoreAdvantageLaneOpponent,challenges_visionScorePerMinute,challenges_voidMonsterKill,challenges_wardsGuarded,challenges_wardTakedowns,challenges_wardTakedownsBefore20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakeDowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,controlWardTimeCoverageInRiverOrEnemyHalf,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earliestBaron,earliestDragonTakedown,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,fistBumpParticipation,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,HealFromMapSources,highestChampionDamage,highestCrowdControlScore,highestWardKills,immobilizeAndKillWithAlly,infernalScalePickup,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerKillsEarlyJungle,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killedChampTookFullTeamDamageSurvived,killingSprees_c,killParticipation,killsNearEnemyTurret,killsOnLanersEarlyJungleAsJungler,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,kTurretsDestroyedBeforePlatesFall,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multikills,multikillsAfterAggressiveFlash,multiTurretRiftHeraldCount,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,playedChampSelectPosition,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,shortestTimeToAceFromFirstTakedown,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,soloTurretsLategame,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,SWARM_DefeatAatrox,SWARM_DefeatBriar,SWARM_DefeatMiniBosses,SWARM_EvolveWeapon,SWARM_Have3Passives,SWARM_KillEnemy,SWARM_PickupGold,SWARM_ReachLevel50,SWARM_Survive15Min,SWARM_WinWith5EvolvedWeapons,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,turretTakedowns,twentyMinionsIn3SecondsCount,twoWardsOneSweeperCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,voidMonsterKill,wardsGuarded,wardTakedowns,wardTakedownsBefore20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Int(8),Int(8),Int(4),Int(8),Int(8),Int(8),"Double(32,24)",Int(8),Int(4),Int(8),"Double(32,24)","Double(32,24)","Double(32,24)",Int(8),Int(8),Int(8),Int(8),Int(4),"Double(32,24)","Double(32,24)",Int(8),"Double(32,24)",Int(8),Int(8),Int(8),Int(8),Int(4),Int(8),Int(8),Int(8),Int(4),"Double(32,24)",Int(8),Int(8),Int(8),"Double(32,24)","Double(32,24)","Double(32,24)",Int(8),"Double(32,24)","Double(32,24)","Double(32,24)","Double(32,24)",Int(8),Int(8),Int(4),Int(4),"Double(32,24)","Double(32,24)",Int(8),"Double(32,24)",Int(8),Int(8),Int(8),"Double(32,24)",Int(8),"Double(32,24)","Double(32,24)",Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(4),Int(8),Int(4),"Double(32,24)",Int(8),Int(8),Int(8),"Double(32,24)",Int(4),Int(4),Int(8),Int(8),Int(4),Int(8),Int(8),Int(4),Int(4),Int(8),Int(4),Int(8),Int(8),Int(8),Int(8),Int(4),Int(4),Int(4),"Double(32,24)",Int(8),Int(8),Int(8),Int(8),Int(8),"Double(32,24)",Int(8),Int(8),Int(4),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(4),Int(8),Int(4),Int(4),Int(8),Int(8),Int(4),Int(4),"Double(32,24)",Int(4),Int(4),Int(8),Int(8),Int(4),Int(4),Int(8),Int(4),Int(4),"Double(32,24)","Double(32,24)",Int(4),Int(4),Int(8),Int(4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
