player_accountId,stats_assists,stats_causedEarlySurrender,championId,stats_champLevel,stats_combatPlayerScore,player_currentAccountId,player_currentPlatformId,player_platformId,stats_damageDealtToObjectives,stats_damageDealtToTurrets,stats_damageSelfMitigated,stats_deaths,stats_doubleKills,stats_earlySurrenderAccomplice,stats_firstBloodAssist,stats_firstBloodKill,stats_firstInhibitorAssist,stats_firstInhibitorKill,stats_firstTowerAssist,stats_firstTowerKill,stats_gameEndedInEarlySurrender,stats_gameEndedInSurrender,gameId,player_gameName,stats_goldEarned,stats_goldSpent,highestAchievedSeasonTier,stats_inhibitorKills,stats_item0,stats_item1,stats_item2,stats_item3,stats_item4,stats_item5,stats_item6,stats_killingSprees,stats_kills,timeline_lane,stats_largestCriticalStrike,stats_largestKillingSpree,stats_largestMultiKill,stats_longestTimeSpentLiving,stats_magicalDamageTaken,stats_magicDamageDealt,stats_magicDamageDealtToChampions,player_matchHistoryUri,stats_neutralMinionsKilled,stats_neutralMinionsKilledEnemyJungle,stats_neutralMinionsKilledTeamJungle,stats_objectivePlayerScore,participantId,stats_participantId,timeline_participantId,participantId_other,stats_pentaKills,stats_perk0,stats_perk0Var1,stats_perk0Var2,stats_perk0Var3,stats_perk1,stats_perk1Var1,stats_perk1Var2,stats_perk1Var3,stats_perk2,stats_perk2Var1,stats_perk2Var2,stats_perk2Var3,stats_perk3,stats_perk3Var1,stats_perk3Var2,stats_perk3Var3,stats_perk4,stats_perk4Var1,stats_perk4Var2,stats_perk4Var3,stats_perk5,stats_perk5Var1,stats_perk5Var2,stats_perk5Var3,stats_perkPrimaryStyle,stats_perkSubStyle,stats_physicalDamageDealt,stats_physicalDamageDealtToChampions,stats_physicalDamageTaken,stats_playerAugment1,stats_playerAugment2,stats_playerAugment3,stats_playerAugment4,stats_playerAugment5,stats_playerAugment6,stats_playerScore0,stats_playerScore1,stats_playerScore2,stats_playerScore3,stats_playerScore4,stats_playerScore5,stats_playerScore6,stats_playerScore7,stats_playerScore8,stats_playerScore9,stats_playerSubteamId,player_profileIcon,player_puuid,stats_quadraKills,timeline_role,stats_roleBoundItem,stats_sightWardsBoughtInGame,stats_subteamPlacement,player_summonerId,player_summonerName,spell1Id,spell2Id,player_tagLine,stats_teamEarlySurrendered,teamId,stats_timeCCingOthers,stats_totalDamageDealt,stats_totalDamageDealtToChampions,stats_totalDamageTaken,stats_totalHeal,stats_totalMinionsKilled,stats_totalPlayerScore,stats_totalScoreRank,stats_totalTimeCrowdControlDealt,stats_totalUnitsHealed,stats_tripleKills,stats_trueDamageDealt,stats_trueDamageDealtToChampions,stats_trueDamageTaken,stats_turretKills,stats_unrealKills,stats_visionScore,stats_visionWardsBoughtInGame,stats_wardsKilled,stats_wardsPlaced,stats_win
accountid,assists,causedEarlySurrender,championid,champLevel,combatPlayerscore,currentAccountid,currentPlatformId,currentPlattformid,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,earlySurrenderAccomplice,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,gameid,gameName,goldEarned,goldSpent,highestSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicalDamageTaken,magicDamageDealt,magicDamageDealtToChampions,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,objectivePlayerScore,participantid,participantidOther1,participantidOther2,participantidOther3,pentaKills,perk0,perk0_var1,perk0_var2,perk0_var3,perk1,perk1_var1,perk1_var2,perk1_var3,perk2,perk2_var1,perk2_var2,perk2_var3,perk3,perk3_var1,perk3_var2,perk3_var3,perk4,perk4_var1,perk4_var2,perk4_var3,perk5,perk5_var1,perk5_var2,perk5_var3,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerAugment5,playerAugment6,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,playerSubteamid,profileIcon,puuidClient,quadraKills,role,roleBoundItem,sightWardsBoughtInGame,subteamPlacement,summonerid,summonername,summonerSpell1,summonerSpell2,tagline,teamEarlySurrendered,teamid,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
Int(8),int(4),bool,int(4),Int(4),Int(4),Int(8),Varchar(8),Varchar(8),Int(8),Int(8),Int(16),Int(4),Int(4),bool,bool,bool,bool,bool,bool,bool,bool,bool,Bigint(16),Varchar(16),int(8),int(8),varchar(16),Int(4),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(4),Int(4),Varchar(8),Int(8),Int(4),Int(4),Int(8),Int(8),Int(8),Int(8),Varchar(16),Int(8),Int(8),Int(8),Int(8),int(4),Int(4),Int(4),Int(4),Int(4),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),text,Int(4),Varchar(16),Int(8),Int(4),Int(8),Bigint(16),Varchar(16),int(4),int(4),Varchar(8),bool,int(4),Int(8),Int(16),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(8),Int(4),Int(16),Int(16),Int(16),Int(8),Int(8),Int(8),Int(4),Int(8),Int(4),bool
meta,stats,bools,user,stats,scores,meta,meta,meta,stats,stats,stats,stats,scores,bools,bools,bools,bools,bools,bools,bools,bools,bools,meta,user,gold,gold,scores,stats,gold,gold,gold,gold,gold,gold,gold,scores,stats,meta,stats,scores,scores,stats,stats,stats,stats,meta,stats,stats,stats,scores,meta,meta,meta,meta,scores,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,ability,stats,stats,stats,ability,ability,ability,ability,ability,ability,scores,scores,scores,scores,scores,scores,scores,scores,scores,scores,meta,user,user,scores,meta,gold,stats,stats,user,user,ability,ability,user,bools,meta,stats,stats,stats,stats,stats,stats,scores,scores,stats,stats,scores,stats,stats,stats,stats,stats,scores,stats,stats,stats,bools
