metadata_dataVersion,info_gameCreation,info_gameDuration,info_gameEndTimestamp,info_gameId,info_gameMode,info_gameName,info_endOfGameResult,info_gameType,info_mapId,info_platformId,metadata_matchId,info_queueId,info_gameVersion,info_gameStartTimestamp,info_tournamentCode
apiversion,dateEpoch,duration,endEpoch,gameid,gamemode,gamename,gameresult,gametype,mapid,platformid,pregameid,queueid,rawpatch,startEpoch,tournamentcode
int(4),bigint(16),int(8),bigint(16),bigint(16),varchar(16),varchar(32),varchar(16),varchar(24),tinyint(4),varchar(8),varchar(16),int(8),varchar(16),bigint(16),varchar(32)
meta,time,time,time,meta,game,game,meta,game,game,meta,meta,meta,meta,time,meta
