teamId,win,feats_EPIC_MONSTER_KILL_featState,feats_FIRST_BLOOD_featState,feats_FIRST_TURRET_featState,objectives_atakhan_first,objectives_atakhan_kills,objectives_baron_first,objectives_baron_kills,objectives_champion_first,objectives_champion_kills,objectives_dragon_first,objectives_dragon_kills,objectives_horde_first,objectives_horde_kills,objectives_inhibitor_first,objectives_inhibitor_kills,objectives_riftHerald_first,objectives_riftHerald_kills,objectives_tower_first,objectives_tower_kills,info_gameId,championId_0,championId_1,championId_2,championId_3,championId_4,pickTurn_0,pickTurn_1,pickTurn_2,pickTurn_3,pickTurn_4
teamid,win,epicMonsterFeatState,firstBloodFeatState,firstTurretFeatState,firstAtakhan,atakhanKills,firstBaron,baronKills,firstChampion,championKills,firstDargon,dragonKills,firstHorde,hordeKills,firstInhibitor,inhibitorKills,firstRiftHerald,riftHeraldKills,firstTower,towerKills,gameid,ban0,ban1,ban2,ban3,ban4,pickNumber0,pickNumber1,pickNumber2,pickNumber3,pickNumber4
Int(4),bool,Int(4),Int(8),Int(4),bool,Int(4),bool,Int(4),bool,Int(8),bool,Int(4),bool,Int(4),bool,Int(4),bool,Int(4),bool,Int(8),Bigint(16),Int(4),Int(4),Int(4),Int(4),Int(4),Int(4),Int(4),Int(4),Int(4),Int(4)
meta,bools,scores,scores,scores,bools,scores,bools,scores,bools,scores,bools,scores,bools,scores,bools,scores,bools,scores,bools,scores,meta,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs

